Day,Date,Shift,Type,Time
Sunday,8/30/26,LIJ NF,Block,Night
Monday,8/31/26,LIJ NF,Block,Night
Tuesday,9/1/26,LIJ NF,Block,Night
Wednesday,9/2/26,LIJ NF,Block,Night
Thursday,9/3/26,LIJ NF,Block,Night
Friday,9/4/26,LIJ NF,Block,Night
Saturday,9/5/26,-,Off,Night
Sunday,9/6/26,LIJ NF,Block,Night
Monday,9/7/26,LIJ NF,Block,Night
Tuesday,9/8/26,LIJ NF,Block,Night
Wednesday,9/9/26,LIJ NF,Block,Night
Thursday,9/10/26,LIJ NF,Block,Night
Friday,9/11/26,LIJ NF,Block,Night
Saturday,9/12/26,-,Off,Night
Sunday,9/13/26,LIJ NF,Block,Night
Monday,9/14/26,LIJ NF,Block,Night
Tuesday,9/15/26,LIJ NF,Block,Night
Wednesday,9/16/26,LIJ NF,Block,Night
Thursday,9/17/26,LIJ NF,Block,Night
Friday,9/18/26,LIJ NF,Block,Night
Saturday,9/19/26,-,Off,Night
Sunday,9/20/26,LIJ NF,Block,Night
Monday,9/21/26,LIJ NF,Block,Night
Tuesday,9/22/26,LIJ NF,Block,Night
Wednesday,9/23/26,LIJ NF,Block,Night
Thursday,9/24/26,LIJ NF,Block,Night
Friday,9/25/26,LIJ NF,Block,Night
Saturday,9/26/26,-,Off,Night
Sunday,9/27/26,LIJ NF,Block,Night
Monday,9/28/26,LIJ NF,Block,Night
Tuesday,9/29/26,LIJ NF,Block,Night
Wednesday,9/30/26,LIJ NF,Block,Night
Thursday,10/1/26,LIJ NF,Block,Night
Friday,10/2/26,LIJ NF,Block,Night
Saturday,10/3/26,-,Off,Day
Sunday,10/4/26,-,Off,Day
Monday,10/5/26,Clinic,Block,Day
Tuesday,10/6/26,Clinic,Block,Day
Wednesday,10/7/26,Clinic,Block,Day
Thursday,10/8/26,Clinic,Block,Day
Friday,10/9/26,Clinic,Block,Day
Saturday,10/10/26,Vacation,Off,Day
Sunday,10/11/26,Vacation,Off,Day
Monday,10/12/26,Vacation,Off,Day
Tuesday,10/13/26,Vacation,Off,Day
Wednesday,10/14/26,Vacation,Off,Day
Thursday,10/15/26,Vacation,Off,Day
Friday,10/16/26,Vacation,Off,Day
Saturday,10/17/26,Vacation,Off,Day
Sunday,10/18/26,Vacation,Off,Day
Monday,10/19/26,Clinic,Block,Day
Tuesday,10/20/26,Clinic,Block,Day
Wednesday,10/21/26,Clinic,Block,Day
Thursday,10/22/26,Clinic,Block,Day
Friday,10/23/26,Clinic,Block,Day
Saturday,10/24/26,-,Off,Day
Sunday,10/25/26,-,Off,Day
Monday,10/26/26,Conference,Off,Day
Tuesday,10/27/26,Conference,Off,Day
Wednesday,10/28/26,Clinic,Block,Day
Thursday,10/29/26,Clinic,Block,Day
Friday,10/30/26,Clinic,Block,Day
Saturday,10/31/26,NS,Weekend,Day
Sunday,11/1/26,NS,Weekend,Day
Monday,11/2/26,NS GYN,Block,Day
Tuesday,11/3/26,NS GYN,Block,Day
Wednesday,11/4/26,NS GYN,Block,Day
Thursday,11/5/26,NS GYN,Block,Day
Friday,11/6/26,NS GYN,Block,Day
Saturday,11/7/26,-,Off,Day
Sunday,11/8/26,-,Off,Day
Monday,11/9/26,NS GYN,Block,Day
Tuesday,11/10/26,NS GYN,Block,Day
Wednesday,11/11/26,NS GYN,Block,Day
Thursday,11/12/26,NS GYN,Block,Day
Friday,11/13/26,NS GYN,Block,Day
Saturday,11/14/26,-,Off,Day
Sunday,11/15/26,-,Off,Day
Monday,11/16/26,NS GYN,Block,Day
Tuesday,11/17/26,NS GYN,Block,Day
